committee_name,donor_name,amount,date,candidate_name,race_name
Arizona Workers Alliance,Desert Orchard LLC,40998.27,2020-05-18,Evelyn Rodriguez,US House District 2
Arizona Workers Alliance,Frontier Manufacturing Co.,34935.67,2023-01-18,Sophia Wilson,US Senate
Sunrise Civic Action Fund,Gila River Foundation,125026.31,2022-04-20,Michael White,Attorney General
Neighbors for Better Government,Canyon Ridge Investments,7077.17,2022-12-22,Emma Taylor,Maricopa County Supervisor District 2
Arizona Families First,Desert Orchard LLC,74170.16,2022-06-05,Noah White,Governor
Citizens for Fair Elections,Sunrise Ventures LLC,15783.49,2020-02-12,Benjamin Martinez,State Senate District 5
Grand Canyon Progress PAC,Blue Sky Developers,99521.79,2020-12-06,Emily Clark,Phoenix City Council District 4
Arizona Workers Alliance,Copper Ridge Holdings,134869.03,2021-10-23,Lucas Lewis,Governor
Bold Arizona Voices,Horizon Media Group,84382.73,2024-09-04,Olivia Thompson,Governor
Clean Government Project,Pioneer Energy Group,137417.8,2020-05-15,Emma Jackson,Attorney General
Desert Sunrise Action,Sunrise Ventures LLC,6173.44,2023-04-10,Jacob Rodriguez,Attorney General
Protect Arizona Values PAC,Sunrise Ventures LLC,38858.09,2023-09-10,Ella Miller,Secretary of State
Grand Canyon Progress PAC,Saguaro Capital,31627.1,2022-03-19,Olivia Johnson,State Senate District 5
Arizona Families First,Pioneer Energy Group,84929.77,2021-01-28,Emily Martin,Governor
Keep AZ Moving Committee,Southwest AgriFund,31009.98,2024-04-14,Evelyn Garcia,Attorney General
Citizens for Fair Elections,Sunrise Ventures LLC,128318.1,2020-12-19,James Garcia,State Senate District 12
Arizona Workers Alliance,Gila River Foundation,117457.96,2021-02-04,Sophia Brown,US Senate
Vote Integrity Fund,Red Rock Philanthropy,45692.4,2025-03-15,Ava Brown,State Senate District 5
Neighbors for Better Government,Southwest AgriFund,83457.9,2020-12-27,Elijah Thompson,Governor
Grand Canyon Progress PAC,Sunrise Ventures LLC,69041.64,2023-05-10,Olivia Robinson,US Senate
Valley Voters Alliance,Valley Healthcare Group,11493.67,2022-05-22,James Walker,Attorney General
Desert Shores Coalition,Gila River Foundation,73756.21,2023-04-21,Harper Moore,Secretary of State
Clean Government Project,Pioneer Energy Group,36016.61,2020-11-22,Jacob Martinez,US House District 2
Citizens for Fair Elections,Horizon Media Group,92296.26,2021-03-31,James Taylor,Phoenix City Council District 4
Neighbors for Better Government,Pioneer Energy Group,25605.56,2021-09-13,Evelyn Taylor,US Senate
Arizona Families First,Mesa Community Trust,106570.48,2020-12-03,Liam Martinez,State Senate District 5
Bold Arizona Voices,Mesa Community Trust,61791.96,2024-11-09,Mia Johnson,US House District 2
Neighbors for Better Government,Valley Healthcare Group,82293.16,2023-11-11,Noah White,State House District 7
Valley Voters Alliance,Valley Healthcare Group,74653.0,2023-07-01,Elijah Lewis,State Senate District 12
Bold Arizona Voices,Sunrise Ventures LLC,54651.8,2025-06-15,Olivia Lewis,Governor
Desert Sunrise Action,Frontier Manufacturing Co.,87666.49,2023-02-04,Emily Harris,US Senate
Arizona Future Coalition,Saguaro Capital,58716.4,2023-03-02,Logan White,Attorney General
Arizona Future Coalition,Blue Sky Developers,4836.17,2021-03-10,Mason Johnson,Pima County Board District 3
Vote Integrity Fund,Red Rock Philanthropy,65044.71,2023-11-25,Daniel Thomas,Tucson City Council District 1
Neighbors for Better Government,Horizon Media Group,54768.23,2025-08-29,Sophia Moore,State House District 7
Grand Canyon Progress PAC,Horizon Media Group,95813.19,2020-12-19,Elijah Harris,US House District 1
Keep AZ Moving Committee,Valley Healthcare Group,114123.14,2024-01-21,Amelia Brown,State House District 7
Desert Shores Coalition,Mesa Community Trust,131126.22,2025-05-05,Isabella Jackson,Governor
Citizens for Fair Elections,Red Rock Philanthropy,128888.46,2023-01-29,Noah Taylor,Governor
Arizona Families First,Southwest AgriFund,76509.29,2024-09-20,Ava Jackson,US House District 2
Clean Government Project,Valley Healthcare Group,76914.71,2021-02-24,Liam Walker,State Senate District 5
Bold Arizona Voices,Copper Ridge Holdings,61524.42,2020-08-29,Abigail White,Governor
Neighbors for Better Government,Canyon Ridge Investments,73007.76,2021-07-30,Ella Garcia,State Treasurer
Citizens for Fair Elections,Gila River Foundation,75349.95,2021-03-31,Elijah Miller,State House District 7
Arizona Families First,Mesa Community Trust,21216.05,2021-08-08,Michael Davis,Secretary of State
Arizona Future Coalition,Valley Healthcare Group,23464.72,2020-02-23,Elijah Robinson,US House District 1
Arizona Future Coalition,Canyon Ridge Investments,79019.82,2024-01-06,Mia Brown,State House District 20
Vote Integrity Fund,Blue Sky Developers,443.0,2021-01-12,Lucas Johnson,Pima County Board District 3
Citizens for Fair Elections,Desert Orchard LLC,67992.58,2021-04-19,Benjamin Anderson,State Treasurer
Sunrise Civic Action Fund,Mesa Community Trust,17540.32,2022-10-05,Emma Walker,Attorney General
Valley Voters Alliance,Red Rock Philanthropy,29337.43,2024-12-19,Ella Thomas,Governor
Bold Arizona Voices,Valley Healthcare Group,79709.24,2021-06-21,Ella Lewis,US House District 1
Bold Arizona Voices,Southwest AgriFund,17869.61,2024-01-12,Ethan Taylor,Governor
Keep AZ Moving Committee,Saguaro Capital,78747.58,2020-04-29,Jacob Harris,Governor
Protect Arizona Values PAC,Horizon Media Group,3803.51,2023-05-14,Ava Martinez,Maricopa County Supervisor District 2
Arizona Families First,Blue Sky Developers,36577.07,2020-11-12,Emily Thomas,State Senate District 5
Vote Integrity Fund,Mesa Community Trust,118049.84,2025-09-22,Ella Brown,Secretary of State
Arizona Workers Alliance,Horizon Media Group,43364.7,2024-08-06,Abigail Anderson,US Senate
Arizona Workers Alliance,Gila River Foundation,19551.7,2020-05-29,Daniel Lewis,State Senate District 5
Protect Arizona Values PAC,Sunrise Ventures LLC,83430.96,2022-07-03,Harper Lee,Phoenix City Council District 4
Citizens for Fair Elections,Pioneer Energy Group,74783.85,2020-04-12,Ella Moore,US House District 2
Neighbors for Better Government,Desert Tech Partners,116023.06,2021-08-20,Benjamin Clark,State House District 20
Arizona Families First,Desert Tech Partners,108876.46,2024-12-26,Michael Rodriguez,Secretary of State
Grand Canyon Progress PAC,Horizon Media Group,60523.99,2020-02-26,Mason Hall,Attorney General
Valley Voters Alliance,Southwest AgriFund,143683.79,2025-07-12,Benjamin Thomas,State Senate District 12
Arizona Workers Alliance,Mesa Community Trust,104756.44,2020-03-26,Evelyn Taylor,Pima County Board District 3
Arizona Future Coalition,Frontier Manufacturing Co.,134245.22,2020-01-03,Elijah Clark,State Senate District 5
Clean Government Project,Pioneer Energy Group,95735.51,2023-05-05,Ethan Clark,Pima County Board District 3
Valley Voters Alliance,Horizon Media Group,120200.14,2024-10-23,Harper Rodriguez,US House District 1
Citizens for Fair Elections,Pioneer Energy Group,58428.97,2024-09-17,Daniel Johnson,US Senate
Keep AZ Moving Committee,Desert Tech Partners,55845.38,2020-06-26,Charlotte Anderson,US House District 2
Arizona Families First,Pioneer Energy Group,62302.58,2022-07-01,Olivia Harris,State Senate District 12
Desert Shores Coalition,Red Rock Philanthropy,88264.95,2020-08-27,Noah Taylor,Maricopa County Supervisor District 2
Protect Arizona Values PAC,Mesa Community Trust,76926.23,2022-03-07,Abigail Smith,US House District 2
Keep AZ Moving Committee,Desert Orchard LLC,24319.17,2024-06-17,Jacob Rodriguez,State House District 7
Grand Canyon Progress PAC,Canyon Ridge Investments,128987.27,2022-01-08,Charlotte Martin,State Senate District 5
Valley Voters Alliance,Frontier Manufacturing Co.,42477.13,2022-01-24,Ava Robinson,Attorney General
Sunrise Civic Action Fund,Desert Orchard LLC,32085.63,2025-09-29,Isabella Davis,US House District 1
Citizens for Fair Elections,Frontier Manufacturing Co.,68291.79,2021-05-31,Isabella Martinez,Governor
Grand Canyon Progress PAC,Sunrise Ventures LLC,37178.43,2024-06-19,Mia Thomas,Tucson City Council District 1
Vote Integrity Fund,Sunrise Ventures LLC,47469.96,2023-02-28,Benjamin Thomas,State Senate District 12
Clean Government Project,Blue Sky Developers,26324.05,2025-08-05,Ava Jackson,Attorney General
Vote Integrity Fund,Frontier Manufacturing Co.,41813.17,2024-02-20,Ava Davis,State House District 7
Keep AZ Moving Committee,Copper Ridge Holdings,33438.08,2021-08-14,Ella Miller,US House District 2
Vote Integrity Fund,Frontier Manufacturing Co.,43844.72,2022-01-12,Michael Rodriguez,State Senate District 12
Bold Arizona Voices,Desert Tech Partners,96095.38,2021-07-24,Noah Thomas,Secretary of State
Arizona Future Coalition,Pioneer Energy Group,3283.31,2021-07-26,Liam Anderson,US House District 2
Vote Integrity Fund,Pioneer Energy Group,92681.18,2021-01-06,Elijah Walker,State House District 7
Keep AZ Moving Committee,Valley Healthcare Group,142703.95,2021-07-22,James Taylor,US Senate
Clean Government Project,Valley Healthcare Group,61238.82,2021-12-25,Lucas Martinez,Governor
Bold Arizona Voices,Sunrise Ventures LLC,88653.46,2024-07-21,Michael Wilson,State Senate District 12
Desert Shores Coalition,Blue Sky Developers,59583.21,2021-05-31,James Smith,US House District 2
Clean Government Project,Mesa Community Trust,18386.22,2022-08-02,Liam Miller,State Treasurer
Vote Integrity Fund,Valley Healthcare Group,79862.91,2024-01-07,Liam Taylor,Maricopa County Supervisor District 2
Citizens for Fair Elections,Valley Healthcare Group,14509.15,2020-07-18,Liam White,US House District 1
Arizona Families First,Blue Sky Developers,31944.05,2022-07-13,Abigail Wilson,US House District 2
Keep AZ Moving Committee,Blue Sky Developers,9503.68,2020-08-26,Noah Rodriguez,State House District 20
Neighbors for Better Government,Copper Ridge Holdings,97292.65,2024-10-28,Emily Clark,US House District 1
Arizona Families First,Pioneer Energy Group,56641.8,2023-02-24,Elijah Thomas,US House District 1
Desert Sunrise Action,Gila River Foundation,55427.82,2023-06-20,Harper Hall,US Senate
Citizens for Fair Elections,Desert Orchard LLC,121831.35,2021-08-07,Evelyn Rodriguez,State House District 20
Sunrise Civic Action Fund,Copper Ridge Holdings,109111.71,2022-06-08,Ella Moore,State Senate District 5
Protect Arizona Values PAC,Desert Orchard LLC,97720.71,2025-04-03,Noah Jackson,US House District 2
Keep AZ Moving Committee,Horizon Media Group,42908.36,2024-03-23,Benjamin Martinez,State Treasurer
Grand Canyon Progress PAC,Gila River Foundation,66729.7,2021-04-29,Lucas Wilson,Tucson City Council District 1
Vote Integrity Fund,Canyon Ridge Investments,101732.45,2021-03-03,Logan Miller,State Treasurer
Bold Arizona Voices,Sunrise Ventures LLC,64329.25,2024-09-19,Charlotte Martin,Phoenix City Council District 4
Desert Sunrise Action,Pioneer Energy Group,26725.07,2025-04-12,Liam Moore,State Senate District 12
Neighbors for Better Government,Horizon Media Group,18971.99,2021-10-17,Ethan Martinez,State Treasurer
Arizona Future Coalition,Sunrise Ventures LLC,48342.54,2020-08-13,Emily Lewis,Secretary of State
Desert Shores Coalition,Red Rock Philanthropy,9216.15,2021-06-24,Daniel Rodriguez,US Senate
Sunrise Civic Action Fund,Sunrise Ventures LLC,71899.45,2024-12-14,Emma Jackson,Phoenix City Council District 4
Citizens for Fair Elections,Pioneer Energy Group,64279.81,2023-10-05,James Lewis,Phoenix City Council District 4
Sunrise Civic Action Fund,Valley Healthcare Group,73072.58,2023-12-28,Sophia Lee,US House District 1
Vote Integrity Fund,Valley Healthcare Group,122855.63,2025-10-17,Olivia Jackson,US Senate
Desert Sunrise Action,Canyon Ridge Investments,62259.24,2025-08-01,Harper Moore,Phoenix City Council District 4
Arizona Families First,Sunrise Ventures LLC,46907.46,2020-03-29,Olivia Rodriguez,State Senate District 5
Citizens for Fair Elections,Copper Ridge Holdings,124569.17,2022-10-03,Mason Harris,Tucson City Council District 1
Vote Integrity Fund,Frontier Manufacturing Co.,22488.27,2022-09-23,Evelyn Walker,Maricopa County Supervisor District 2
Desert Sunrise Action,Desert Orchard LLC,39133.05,2023-11-12,Sophia Brown,US Senate
Vote Integrity Fund,Red Rock Philanthropy,57153.42,2022-05-04,Harper Jackson,Phoenix City Council District 4
Protect Arizona Values PAC,Gila River Foundation,38863.74,2025-07-03,Benjamin Walker,State Treasurer
Neighbors for Better Government,Saguaro Capital,62057.0,2020-10-20,Michael Martin,US House District 2
Bold Arizona Voices,Mesa Community Trust,21134.29,2021-01-21,Sophia Thompson,Attorney General
Arizona Families First,Frontier Manufacturing Co.,122225.14,2023-12-17,Michael Smith,State Senate District 5
Protect Arizona Values PAC,Desert Orchard LLC,27802.37,2024-12-28,Amelia Taylor,State House District 7
Clean Government Project,Frontier Manufacturing Co.,9776.15,2021-08-14,Mason Moore,Attorney General
Keep AZ Moving Committee,Valley Healthcare Group,33285.95,2022-10-16,Mia Moore,State Senate District 5
Keep AZ Moving Committee,Southwest AgriFund,47273.8,2024-04-29,Michael Jackson,State Senate District 12
Vote Integrity Fund,Gila River Foundation,66332.7,2023-04-17,Isabella Thompson,State House District 7
Vote Integrity Fund,Pioneer Energy Group,122168.35,2023-03-25,Elijah Anderson,US House District 1
Desert Sunrise Action,Mesa Community Trust,46197.35,2021-07-19,Emma Smith,Secretary of State
Valley Voters Alliance,Copper Ridge Holdings,145611.53,2024-09-11,Evelyn Brown,State House District 7
Valley Voters Alliance,Pioneer Energy Group,21663.43,2020-08-10,Mia Garcia,Maricopa County Supervisor District 2
Clean Government Project,Pioneer Energy Group,131403.45,2025-07-09,Olivia Harris,State Treasurer
Protect Arizona Values PAC,Blue Sky Developers,105397.47,2024-12-10,Daniel Thomas,US House District 2
Vote Integrity Fund,Frontier Manufacturing Co.,131631.02,2021-07-21,Isabella Lee,US House District 2
Arizona Families First,Valley Healthcare Group,65703.66,2024-02-29,Emma Taylor,Pima County Board District 3
Bold Arizona Voices,Copper Ridge Holdings,44082.94,2025-07-14,Olivia Miller,US House District 1
Keep AZ Moving Committee,Saguaro Capital,100302.49,2020-01-26,Emily Walker,Secretary of State
Grand Canyon Progress PAC,Horizon Media Group,85193.85,2021-07-14,James Hall,State Senate District 12
Valley Voters Alliance,Sunrise Ventures LLC,104792.64,2020-07-31,Harper Taylor,Secretary of State
Keep AZ Moving Committee,Copper Ridge Holdings,91741.88,2021-07-02,Mason Lewis,US House District 2
Arizona Families First,Canyon Ridge Investments,126171.17,2021-08-12,Benjamin Lee,State House District 20
Arizona Workers Alliance,Desert Tech Partners,109737.7,2021-10-01,Charlotte Lewis,US House District 2
Desert Sunrise Action,Copper Ridge Holdings,105548.24,2023-07-21,Evelyn Walker,Attorney General
Arizona Families First,Desert Orchard LLC,60180.11,2024-12-28,Amelia Martin,Attorney General
Citizens for Fair Elections,Pioneer Energy Group,33151.53,2021-07-29,Ethan Lewis,US House District 2
Clean Government Project,Southwest AgriFund,30269.07,2021-04-07,Harper White,State Treasurer
Arizona Families First,Valley Healthcare Group,123300.48,2020-07-19,Olivia Smith,Attorney General
Bold Arizona Voices,Horizon Media Group,44003.64,2023-01-04,Michael Thompson,Tucson City Council District 1
Protect Arizona Values PAC,Pioneer Energy Group,30730.15,2022-05-20,Isabella Robinson,Secretary of State
Desert Shores Coalition,Southwest AgriFund,57308.59,2025-09-17,Michael Clark,State House District 20
Protect Arizona Values PAC,Desert Orchard LLC,74940.11,2020-12-17,Jacob Jackson,Maricopa County Supervisor District 2
Desert Sunrise Action,Desert Tech Partners,96107.22,2022-11-03,Ava Thomas,State House District 7
Vote Integrity Fund,Horizon Media Group,20178.85,2024-02-26,Ethan Rodriguez,State Senate District 5
Bold Arizona Voices,Pioneer Energy Group,125133.03,2021-04-10,Evelyn Walker,State Senate District 5
Clean Government Project,Desert Tech Partners,55596.28,2021-01-18,Isabella Rodriguez,US House District 1
Bold Arizona Voices,Blue Sky Developers,7725.29,2020-01-04,Sophia Moore,Attorney General
Arizona Families First,Sunrise Ventures LLC,58877.79,2025-04-30,Mia Taylor,Attorney General
Valley Voters Alliance,Frontier Manufacturing Co.,103715.74,2020-09-02,Harper Walker,Attorney General
Arizona Future Coalition,Horizon Media Group,110128.82,2020-05-26,Sophia Thompson,Governor
Grand Canyon Progress PAC,Canyon Ridge Investments,42456.37,2023-01-18,Noah Johnson,Phoenix City Council District 4
Sunrise Civic Action Fund,Sunrise Ventures LLC,134070.32,2023-10-24,Amelia Jackson,State Senate District 12
Arizona Families First,Red Rock Philanthropy,78485.49,2021-02-26,Mia Miller,US House District 2
Grand Canyon Progress PAC,Saguaro Capital,46716.57,2023-08-02,Sophia Martin,Phoenix City Council District 4
Valley Voters Alliance,Saguaro Capital,93763.69,2020-02-19,Sophia Johnson,Governor
Arizona Families First,Horizon Media Group,57369.62,2025-01-06,Harper Thomas,State House District 7
Arizona Families First,Gila River Foundation,39524.04,2021-01-08,Charlotte Robinson,Secretary of State
Bold Arizona Voices,Blue Sky Developers,118598.9,2021-02-24,Olivia Harris,Governor
Desert Shores Coalition,Horizon Media Group,83923.49,2022-04-16,Harper Walker,Pima County Board District 3
Keep AZ Moving Committee,Desert Orchard LLC,16228.79,2025-10-14,Ethan Martinez,US Senate
Bold Arizona Voices,Pioneer Energy Group,17145.21,2025-04-09,Harper White,State House District 7
Clean Government Project,Southwest AgriFund,86976.59,2025-11-05,Charlotte Moore,State House District 7
Sunrise Civic Action Fund,Red Rock Philanthropy,10084.51,2020-06-19,Elijah White,US House District 2
Desert Sunrise Action,Mesa Community Trust,145454.57,2022-04-29,Ava Thomas,Secretary of State
Valley Voters Alliance,Desert Tech Partners,80983.0,2023-11-25,Logan Lewis,State Senate District 5
Desert Shores Coalition,Mesa Community Trust,81928.49,2022-10-08,Emily Brown,State House District 20
Valley Voters Alliance,Desert Tech Partners,89091.73,2025-09-16,Evelyn Lewis,US House District 2
Protect Arizona Values PAC,Canyon Ridge Investments,99003.86,2021-01-21,Amelia Jackson,US House District 1
Keep AZ Moving Committee,Horizon Media Group,50438.88,2020-06-26,Emily Martin,State Treasurer
Arizona Families First,Red Rock Philanthropy,139372.32,2024-10-18,Benjamin Anderson,State Senate District 12
Arizona Future Coalition,Gila River Foundation,122264.39,2022-04-09,Sophia Smith,Pima County Board District 3
Citizens for Fair Elections,Valley Healthcare Group,30875.16,2025-03-07,Harper Thomas,State Treasurer
Protect Arizona Values PAC,Gila River Foundation,88980.91,2022-06-28,Amelia White,State Treasurer
Grand Canyon Progress PAC,Mesa Community Trust,121698.17,2020-09-07,Abigail Moore,US Senate
Protect Arizona Values PAC,Mesa Community Trust,141522.32,2024-10-12,Harper Moore,US House District 1
Arizona Families First,Desert Tech Partners,122773.12,2020-02-01,Benjamin Harris,Governor
Arizona Future Coalition,Horizon Media Group,132928.66,2020-02-02,James Brown,Pima County Board District 3
Neighbors for Better Government,Gila River Foundation,129788.12,2021-11-14,Mason Robinson,State Treasurer
Keep AZ Moving Committee,Frontier Manufacturing Co.,137998.12,2021-04-19,James Harris,State House District 20
Arizona Families First,Horizon Media Group,21246.23,2021-06-09,Harper Taylor,State Treasurer
Desert Sunrise Action,Desert Orchard LLC,138250.87,2022-03-23,Abigail Thompson,State House District 20
Citizens for Fair Elections,Frontier Manufacturing Co.,66527.16,2020-12-05,Liam Smith,Pima County Board District 3
Protect Arizona Values PAC,Sunrise Ventures LLC,128668.04,2021-07-30,Olivia Walker,Governor
Sunrise Civic Action Fund,Canyon Ridge Investments,32686.8,2020-07-31,Lucas Martin,Phoenix City Council District 4
Valley Voters Alliance,Desert Orchard LLC,99416.72,2025-04-07,James Walker,Phoenix City Council District 4
Arizona Families First,Frontier Manufacturing Co.,140217.67,2025-04-28,Emily White,Pima County Board District 3
Arizona Families First,Pioneer Energy Group,65316.75,2024-06-21,Emily Rodriguez,State Senate District 12
Desert Shores Coalition,Frontier Manufacturing Co.,6343.62,2024-03-26,Ethan Taylor,State House District 20
Arizona Future Coalition,Southwest AgriFund,116902.06,2020-03-06,Sophia Taylor,US House District 2
Citizens for Fair Elections,Blue Sky Developers,24431.16,2023-02-27,Logan Brown,Tucson City Council District 1
Protect Arizona Values PAC,Red Rock Philanthropy,54838.26,2025-02-22,Michael Walker,State House District 7
Vote Integrity Fund,Desert Tech Partners,125708.84,2020-11-07,Elijah Brown,Tucson City Council District 1
Arizona Workers Alliance,Canyon Ridge Investments,2239.46,2020-03-28,Jacob Walker,US House District 2
Valley Voters Alliance,Desert Orchard LLC,36676.19,2020-07-24,James Lee,State Senate District 5
Arizona Workers Alliance,Sunrise Ventures LLC,88114.89,2020-12-04,James Lewis,State Senate District 12
Bold Arizona Voices,Mesa Community Trust,14653.36,2020-10-10,Daniel Walker,Governor
Desert Shores Coalition,Desert Orchard LLC,1584.78,2025-08-26,Olivia White,Secretary of State
Citizens for Fair Elections,Valley Healthcare Group,85880.13,2022-05-05,Logan Robinson,State House District 7
Neighbors for Better Government,Canyon Ridge Investments,89781.54,2022-04-12,Charlotte Thomas,Secretary of State
Sunrise Civic Action Fund,Mesa Community Trust,107131.07,2024-01-07,Harper Thompson,State Senate District 5
Keep AZ Moving Committee,Horizon Media Group,16392.59,2024-07-08,Jacob Davis,US Senate
Keep AZ Moving Committee,Blue Sky Developers,36559.28,2025-08-31,Isabella Jackson,US Senate
Bold Arizona Voices,Pioneer Energy Group,101897.11,2022-09-10,Amelia Taylor,Phoenix City Council District 4
Arizona Workers Alliance,Valley Healthcare Group,141376.08,2025-07-19,Sophia Martinez,Governor
Desert Sunrise Action,Valley Healthcare Group,63636.57,2021-08-22,Michael White,Secretary of State
Arizona Workers Alliance,Saguaro Capital,80924.23,2022-12-16,Lucas Jackson,US House District 1
Clean Government Project,Horizon Media Group,74834.48,2021-06-10,Elijah Hall,Pima County Board District 3
Grand Canyon Progress PAC,Copper Ridge Holdings,132116.81,2021-08-01,Liam Walker,Governor
Citizens for Fair Elections,Saguaro Capital,13182.51,2024-03-24,Michael Johnson,State House District 7
Arizona Workers Alliance,Copper Ridge Holdings,3857.14,2023-10-16,Noah Clark,State Senate District 12
Grand Canyon Progress PAC,Desert Tech Partners,131642.39,2024-06-29,Olivia Martin,Secretary of State
Neighbors for Better Government,Desert Tech Partners,104487.08,2022-03-22,Liam Lewis,Tucson City Council District 1
Sunrise Civic Action Fund,Mesa Community Trust,136459.04,2024-04-11,Ethan Lewis,Attorney General
Vote Integrity Fund,Desert Orchard LLC,13639.02,2020-08-26,Sophia Smith,State Treasurer
Citizens for Fair Elections,Desert Orchard LLC,79066.92,2022-08-19,Evelyn Johnson,Governor
Arizona Families First,Saguaro Capital,109135.99,2023-06-22,Harper Garcia,State House District 20
Clean Government Project,Southwest AgriFund,79127.42,2022-08-02,Liam Davis,Maricopa County Supervisor District 2
Valley Voters Alliance,Desert Orchard LLC,81677.33,2022-01-06,Noah Thomas,State Senate District 5
Vote Integrity Fund,Red Rock Philanthropy,34709.74,2022-12-11,Jacob Hall,Governor
Desert Sunrise Action,Desert Tech Partners,63848.46,2022-09-20,Charlotte White,Phoenix City Council District 4
Arizona Workers Alliance,Pioneer Energy Group,137449.45,2020-04-11,Elijah Robinson,State House District 7
Arizona Future Coalition,Frontier Manufacturing Co.,147760.53,2024-10-23,Noah Brown,State Treasurer
Arizona Future Coalition,Sunrise Ventures LLC,45639.2,2025-02-22,Ella Clark,State Senate District 12
Bold Arizona Voices,Desert Orchard LLC,127058.93,2023-11-24,Ella Harris,State Senate District 5
Bold Arizona Voices,Desert Orchard LLC,5691.3,2023-11-29,Noah Martinez,US House District 2
Neighbors for Better Government,Saguaro Capital,36864.91,2024-11-07,Michael Hall,US House District 2
Keep AZ Moving Committee,Horizon Media Group,92905.4,2023-04-03,Jacob Harris,US House District 2
Protect Arizona Values PAC,Sunrise Ventures LLC,112112.66,2021-07-27,Evelyn Garcia,Maricopa County Supervisor District 2
Neighbors for Better Government,Pioneer Energy Group,149805.06,2023-12-29,Mason Martin,Pima County Board District 3
Neighbors for Better Government,Copper Ridge Holdings,60979.02,2025-06-12,Daniel Garcia,State Treasurer
Desert Shores Coalition,Gila River Foundation,74412.13,2024-06-18,Emma Thompson,Tucson City Council District 1
Clean Government Project,Horizon Media Group,81518.25,2022-06-06,Michael Thompson,US House District 1
Desert Shores Coalition,Horizon Media Group,79013.2,2024-01-04,Ethan Robinson,US House District 2
Citizens for Fair Elections,Sunrise Ventures LLC,131894.9,2021-10-23,Abigail Jackson,Tucson City Council District 1
Keep AZ Moving Committee,Horizon Media Group,24047.57,2024-10-07,Elijah Clark,State House District 7
Desert Shores Coalition,Pioneer Energy Group,77353.09,2022-03-08,Harper Walker,State House District 20
Keep AZ Moving Committee,Red Rock Philanthropy,148429.2,2023-08-23,Noah Jackson,State House District 7
Protect Arizona Values PAC,Valley Healthcare Group,101477.75,2020-01-03,Abigail Rodriguez,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Canyon Ridge Investments,121311.42,2021-03-10,Evelyn Wilson,Pima County Board District 3
Protect Arizona Values PAC,Mesa Community Trust,72170.77,2021-09-15,Jacob Martin,State Senate District 12
Desert Shores Coalition,Mesa Community Trust,44633.78,2022-02-08,James Jackson,Pima County Board District 3
Bold Arizona Voices,Saguaro Capital,3939.35,2020-04-30,Daniel Robinson,State Senate District 12
Bold Arizona Voices,Sunrise Ventures LLC,18938.57,2024-12-10,Emily Taylor,Attorney General
Arizona Families First,Horizon Media Group,72556.18,2022-02-10,Amelia Thomas,State Treasurer
Vote Integrity Fund,Sunrise Ventures LLC,143600.6,2023-12-14,Olivia Clark,Secretary of State
Clean Government Project,Pioneer Energy Group,80048.31,2020-11-24,Noah Robinson,State Senate District 12
Neighbors for Better Government,Sunrise Ventures LLC,64422.45,2020-08-17,Lucas Thompson,Secretary of State
Clean Government Project,Red Rock Philanthropy,903.33,2022-01-22,Ella Johnson,State Senate District 12
Grand Canyon Progress PAC,Canyon Ridge Investments,27346.82,2025-01-05,Emily Lewis,Pima County Board District 3
Arizona Future Coalition,Southwest AgriFund,96007.94,2020-07-22,James Moore,Attorney General
Neighbors for Better Government,Desert Tech Partners,88550.18,2020-03-14,Ava Brown,Phoenix City Council District 4
Arizona Families First,Sunrise Ventures LLC,95134.61,2020-09-18,Olivia Thomas,Tucson City Council District 1
Neighbors for Better Government,Saguaro Capital,74137.79,2021-12-01,Abigail Johnson,State House District 7
Vote Integrity Fund,Frontier Manufacturing Co.,96558.41,2023-11-12,Amelia Lee,Governor
Protect Arizona Values PAC,Valley Healthcare Group,61359.13,2022-05-13,Mason Miller,US House District 1
Clean Government Project,Sunrise Ventures LLC,57820.16,2020-06-20,Benjamin Smith,Phoenix City Council District 4
Citizens for Fair Elections,Frontier Manufacturing Co.,3216.99,2021-07-11,Abigail Miller,State House District 20
Arizona Workers Alliance,Canyon Ridge Investments,97768.44,2024-09-30,Elijah Jackson,State Treasurer
Protect Arizona Values PAC,Canyon Ridge Investments,54681.14,2025-04-07,Evelyn Harris,Tucson City Council District 1
Arizona Workers Alliance,Desert Orchard LLC,104668.61,2023-08-30,Lucas Smith,Phoenix City Council District 4
Keep AZ Moving Committee,Horizon Media Group,121062.25,2023-02-08,Emily Martinez,State Treasurer
Grand Canyon Progress PAC,Pioneer Energy Group,135218.4,2025-07-24,Jacob Moore,Phoenix City Council District 4
Grand Canyon Progress PAC,Copper Ridge Holdings,135506.91,2022-05-03,Amelia Robinson,Tucson City Council District 1
Valley Voters Alliance,Red Rock Philanthropy,33025.75,2023-09-14,Isabella Moore,State Senate District 5
Desert Sunrise Action,Sunrise Ventures LLC,64513.32,2024-09-11,Amelia Lewis,State Senate District 5
Valley Voters Alliance,Horizon Media Group,100022.0,2023-01-01,Harper Miller,Secretary of State
Arizona Future Coalition,Desert Tech Partners,111276.05,2022-07-25,Lucas Robinson,State Treasurer
Neighbors for Better Government,Horizon Media Group,141718.82,2021-10-17,Abigail Robinson,State Senate District 12
Clean Government Project,Pioneer Energy Group,65267.94,2024-05-23,James Miller,Secretary of State
